network,variant,delta_real,delta_null,delta0_check,up_degenerate_p0,up_spe_stop,up_spe_end,up_stalled,up_delta_end,up_r_end,up_auc_end,up_p_end,up_hublift_end,up_tri_intra_0,up_tri_intra_end,up_tri_inter_0,up_tri_inter_end,up_sd_s_drift,up_Q_drift,up_term_scale,up_term_sorting,up_neutral_at_end,up_neutral_2sd,up_separated,up_delta_max,up_delta_min,up_P2_corr_hublift_delta,down_degenerate_p0,down_spe_stop,down_spe_end,down_stalled,down_delta_end,down_r_end,down_auc_end,down_p_end,down_hublift_end,down_tri_intra_0,down_tri_intra_end,down_tri_inter_0,down_tri_inter_end,down_sd_s_drift,down_Q_drift,down_term_scale,down_term_sorting,down_neutral_at_end,down_neutral_2sd,down_separated,down_delta_max,down_delta_min,down_P2_corr_hublift_delta,P1_target_delta,P1_frac_of_gap_end,P1_frac_of_gap_max,P1_dir_ok,P3_partial_corr_triratio_delta,P4_fresh_delta_up_end,P4_ami_up_end,P4_fresh_delta_up_max,P4_fresh_delta_down_end,P4_ami_down_end,untestable_letter
ca-GrQc,literal,0.0872350695379567,0.18899591213469114,0.0872350695379567,1,3.2441,2.5,1,1.306277607308638,0.0771895697941653,0.9716303215929277,0.00044702726866335005,1.0004472327497913,11.728316008316009,0.0,1.6492483894058698,1.2214903817346006,0.2499725810143627,0.8959171509462075,0.22312161588512017,-0.18434281719375253,-0.0750684698046164,0.005529860838305867,True,1.4052286885682337,0.0308146096623794,-0.5611751076206879,0,0.6474,0.64225,1,-0.5045798932959018,-0.6656726442686465,0.043775017276729,0.8454775741320221,0.14423105414208942,11.728316008316009,11.694205855450688,1.6492483894058698,0.00194836824159765,-0.0454102240829235,0.10579645358366863,-0.046473584799693005,,-0.006685099233962785,0.008503516438242204,True,0.0872350695379567,-0.507509277913791,0.9976745484789313,0.11267528018714032,11.97948549425436,12.951874074523163,True,-0.8791696621671307,0.05797223996956665,0.03802225931598195,0.1765325317826394,-0.2779889754721136,0.5660772890589935,down
email-Eu-core,literal,0.03400028641615,0.041288108369142554,0.03400028641615,0,2.7837,2.77775,1,0.9013486618826373,0.2506249174925229,0.9942217401175584,0.0011516434262948,1.0011529799874053,19.501702852277564,0.02941176470588235,19.967756448710254,29.477759621034675,0.29129704502623777,0.583852091633466,0.255647174496626,0.3484658620177867,-0.0021005417441296898,0.003190364894990969,True,0.9649409362348778,0.0250195405297341,-0.5618272945072396,0,1.8994,1.89805,1,-0.0545987946998608,-0.25580433714401785,0.21016733807943605,0.7760831673306773,1.0919209292702274,19.501702852277564,32.9332207240826,19.967756448710254,1.3840071790305526,-0.060623821808807876,0.19285358565737065,-0.06253926424687069,,-0.00214167507749864,0.0065421082171548545,True,0.03400028641615,-0.0554317408956996,0.9088788659073556,0.03582224190439814,119.01338713555336,127.73921424307866,True,-0.8502491738341234,0.023170938775962352,-0.00015305406553300016,0.0395445390167372,-0.026861288308802703,0.638168114767336,down
ca-HepTh,literal,0.1736473032809125,0.21466311765824525,0.1736473032809125,1,3.082,2.5,1,1.297793821655532,0.0412230378355267,0.9765774087528457,0.00014109489639595,1.0001411152134283,3.802149018816526,0.0,1.6530202689143088,0.7708497106054674,0.32292872734832656,0.7991211803595903,0.2798480116849408,-1.790631453993987,-0.03475633239979805,0.0038827171421856104,True,1.3186039323200152,0.0862815916154364,-0.5665289694784873,0,1.4696,1.46695,1,-0.5051722826232417,-0.7057598413580115,0.037787985449613204,0.8182697734419092,0.1178441850832484,3.802149018816526,2.937631797644409,1.6530202689143088,0.0004437451619177,-0.019874328580454792,0.15218092397000726,-0.020074479396677627,,0.00236439718836399,0.01600712644700548,True,0.1736473032809125,-0.5069388031495727,0.9986733736333187,0.18390125687524567,27.40763618717455,27.915004161708385,True,-0.8612526173094156,0.0289491300104384,0.008535916520988649,0.1994249382321659,-0.2518174257802772,0.5230613933309782,down
ca-CondMat,literal,0.1125765838680837,0.1017922997557434,0.1125765838680837,0,3.4364,3.43405,1,1.7660159504332236,0.0300672753389424,0.9974064453671071,2.1909164603553667e-05,1.0000219097646363,6.011674387058603,0.0,4.391377506935286,3.8533424252974173,0.299200848197406,0.7591087351839272,0.26174934328636723,-2.058462762119689,-0.023061338129607246,0.0018077046025978796,True,1.7660352968241622,0.0692237094172153,-0.5816127617745751,0,2.1394,2.1319,1,-0.34697199166469506,-0.7132741545776305,0.0325075180273207,0.8087932432136362,0.15663854314592457,6.011674387058603,3.494784039605924,4.391377506935286,0.00082752514124135,-0.06404990008697153,0.1884188155905615,-0.06619311598441359,,-0.009397184371553251,0.001778477188676265,True,0.1125765838680837,-0.3487284426956549,0.9981846699991287,0.10988051283999863,-153.31934408823057,-153.3211380312255,True,-0.957182728860667,0.06871290623123275,0.01132378231421085,0.1144942090867929,-0.2361691846783667,0.5840803919800182,
email-Enron,literal,0.1500796450075794,0.23995208106984375,0.1500796450075794,0,3.9194,3.9008000000000003,1,1.607269190272464,0.0317326447640275,0.9756183559916374,4.9775732671131735e-05,1.000049778210418,11.3208736174784,0.0,13.973717223650386,42.21643565889758,0.43146334405355247,0.7310230019191316,0.3586972385593342,-2.1283363062815184,-0.05262320354315789,0.0017483285724165345,True,1.7581716156040554,0.07014304600898,-0.5397887033204112,0,1.9575,1.95125,1,-0.438636061099539,-0.6621988742810482,0.03885308829656435,0.8291475629248221,0.3150779654633164,11.3208736174784,21.09756762073492,13.973717223650386,0.00260578143767385,-0.0012568232418614933,0.12424022874714574,-0.0012576137065778343,,-0.03978121515342933,0.0005632607531449842,True,0.1500796450075794,-0.4389231550906246,0.9981582573989887,0.17254775402314548,16.213976265818943,17.893049760911975,True,-0.7868718508208767,0.13343882120821837,-0.00036080870192209326,0.1650867189075187,-0.22690521091526222,0.36861736194666095,down
ca-GrQc,pfix,0.0872350695379567,0.18899591213469114,0.0872350695379567,0,0.9536,0.94475,1,0.2503668763732987,0.2587563749976297,0.7881566379991577,0.8959171509462077,1.8180800450410424,11.728316008316009,9.007027027027027,1.6492483894058698,11.827845382963494,0.02946695975332614,0.0,0.029041153481944484,1.025279823144465,-0.013618723505809534,0.001986678356835904,True,0.2504534459438245,0.0872350695379567,0.9575621691543831,0,0.8259,0.82265,1,-0.8744906085491435,-0.8466645604460867,0.0019002406403981,0.8959171509462077,0.06086259811290855,11.728316008316009,11.405114345114344,1.6492483894058698,0.0,0.09893081274204985,0.0,0.09433771870094342,,-0.005116812839623773,0.0035030374204764116,True,0.0872350695379567,-0.8745953525603664,0.9268824497867582,0.11267528018714032,1.6030901737106587,1.6039408896473268,True,-0.8708228015017989,0.1910799035527883,0.9441986365007458,0.1995262357597348,-0.3264595365049475,0.5404702173912064,"up,down"
email-Eu-core,pfix,0.03400028641615,0.041288108369142554,0.03400028641615,0,1.3738,1.3719000000000001,1,0.0692088580263081,0.3494383156030427,0.9807574205146199,0.584910358565737,2.139958630047058,19.501702852277564,11.894316730523627,19.967756448710254,48.68566286742652,0.03037893537041092,0.0,0.029926633001389823,0.6808354459935909,0.02101964454949051,0.0019221912194913717,True,0.0692143216323223,0.03400028641615,0.9740199025607521,0,2.0,2.0,0,-0.04076927171882695,-0.22567961006261628,0.17389491051342726,0.584910358565737,0.9021593170905569,19.501702852277564,28.299116645381012,19.967756448710254,2.306988602279544,-0.060178534931223826,0.0,-0.062065352535119515,,0.018756015745905297,0.003130139147297303,True,0.03400028641615,-0.0411938624911346,0.9964305565121578,0.03582224190439814,4.831151452005579,4.831901141837388,True,-0.9969430282785463,0.0416887740821336,0.824146638019838,0.0544704710092778,-0.011580089247431199,0.5087068646155746,up
ca-HepTh,pfix,0.1736473032809125,0.21466311765824525,0.1736473032809125,0,2.0,2.0,0,0.33319783900753375,0.4537963304290251,0.9615935086320682,0.7991211803595905,2.788816482834711,3.802149018816526,1.665918377642133,1.6530202689143088,11.749949829420027,0.044659011357064404,0.0,0.04369052724627004,0.6080197611583803,0.0560985488416983,0.003674652050825259,True,0.333236562639786,0.1736473032809125,0.9622946770536471,0,1.8143,1.8063500000000001,1,-0.676828919803004,-0.8876631463806011,0.0025589982280367,0.7991211803595905,0.0016257168533751001,3.802149018816526,3.751929576754275,1.6530202689143088,0.0,0.08483583553827923,0.0,0.08142867189351514,,0.0610052797994958,0.0026999515233287626,True,0.1736473032809125,-0.6769986896801727,0.9752387779152507,0.18390125687524567,3.8899760531098044,3.8909201677845986,True,-0.9293651453975863,0.21694949045926815,0.9052859655669823,0.2361573405991372,-0.3424056841022358,0.40972343876962725,down
ca-CondMat,pfix,0.1125765838680837,0.1017922997557434,0.1125765838680837,0,2.0,2.0,0,0.23180510631892895,0.46422645015615216,0.9633717888701641,0.7591196897662292,2.4789496158668354,6.011674387058603,1.1812993347475358,4.391377506935286,15.094160716721998,0.044763855776817074,0.0,0.043790884547312205,0.6784723278992888,0.05073637023792575,0.000621293963560503,True,0.2319075189288614,0.1125765838680837,0.9474855130580714,0,2.0,2.0,0,-0.29801537591909044,-0.66564752750254,0.048646507311210146,0.7591196897662292,0.10940587915476785,6.011674387058603,4.484602508045081,4.391377506935286,0.0011141934603665,-0.0632593453044974,0.0,-0.06534881766394587,,0.05073637023792575,0.000621293963560503,True,0.1125765838680837,-0.2981358810434775,0.9953813329267979,0.10988051283999863,-11.055766076712857,-11.06526254480157,True,-0.8981347459176034,0.1560705268371453,0.9179604998589428,0.1680356186746623,-0.20107214897869707,0.5307890232377173,
email-Enron,pfix,0.1500796450075794,0.23995208106984375,0.1500796450075794,0,1.2949,1.2923499999999999,1,0.23326972694639786,0.39764349357352224,0.9755951433939952,0.7310727776518021,1.4056915503053498,11.3208736174784,2.979736885903197,13.973717223650386,98.96192287917737,0.04201431556271995,0.0,0.04115568178067936,0.39987359851246634,0.08882859943376839,0.0025810918114498706,True,0.2333175246629056,0.1500796450075794,0.9927869223458847,0,2.0,2.0,0,-0.2853804458388123,-0.5181085643873167,0.08910684998395765,0.7310727776518021,0.3658427043257154,11.3208736174784,33.77243429712678,13.973717223650386,0.00647814910025705,-0.021608605528967373,0.0,-0.021845490159882356,,0.0797464589572064,0.001388752775207989,True,0.1500796450075794,-0.2854916319660598,0.9859604102645387,0.17254775402314548,0.9256462335257464,0.9261780730819215,True,-0.9794489853912857,0.160365479456398,0.8499576278242531,0.1868058672889777,-0.11975694486087266,0.48764460540383814,up
